.//music/Unity.MP3
# 這是關卡1的音樂檔案路址

# 這是 level.txt 檔案的範例內容 (支援浮空障礙物)
# 格式: spawn_trigger_x,width,height,y_position,type
# 遊戲世界每秒前進600像素

# 當遊戲世界滾動距離達到 0 像素時生成第一個障礙物。
# 一個寬 30 像素、高 60 像素的普通障礙物，貼地 (250-HEIGHT)
572.46,50.0,50.0,500.0,regular

1145.46,50.0,50.0,500.0,regular

# 當遊戲世界滾動距離達到 1200 像素時生成。
# 一個寬 80 像素、高 20 像素的平台，浮空 (Y 座標 180)
# Dino 可以跳上去
1472.73,40.0,40.0,470.0,platform
1472.73,40.0,40.0,510.0,regular

1800.0,40.0,40.0,510.0,regular

# 當遊戲世界滾動距離達到 2500 像素時生成。
# 一個寬 100 像素、高 15 像素的長平台，浮空 (Y 座標 150)
2289.8,30.0,30.0,450.0,regular
2319.8,50.0,50.0,450.0,platform
2319.8,50.0,50.0,500.0,regular
2369.8,50.0,50.0,450.0,platform
2369.8,50.0,50.0,500.0,regular
2419.8,50.0,50.0,450.0,platform
2419.8,50.0,50.0,500.0,regular
2469.8,50.0,50.0,450.0,platform
2469.8,50.0,50.0,500.0,regular
2519.8,50.0,50.0,450.0,platform
2519.8,50.0,50.0,500.0,regular

2679.8,30,30,400,regular
2709.8,70,70,410,platform
2709.8,70,70,480,regular
2779.8,70,70,410,platform
2779.8,70,70,480,regular
2849.8,70,70,410,platform
2849.8,70,70,480,regular
2919.8,70,70,410,platform
2919.8,70,70,480,regular
2989.8,50,50,370,regular

3649.8,50,50,500,regular
4249.8,70,70,480,regular
4884,30,30,520,regular
4910,50,50,500,platform
4960,50,50,500,platform
5010,50,50,500,platform
5060,50,50,500,platform
5110,50,50,500,platform
5160,60,60,450,regular

5220,50,50,450,platform
5270,50,50,450,platform
5320,50,50,450,platform
5370,50,50,450,platform
5420,50,50,450,platform
5470,50,50,450,platform
5520,70,70,450,regular
5560,30,30,400,regular

5590,60,60,400,platform
5650,60,60,400,platform
5710,60,60,400,platform
5770,60,60,400,platform
5830,60,60,380,regular

5890,50,50,440,platform
5940,50,50,440,platform
5990,50,50,440,platform
6040,50,50,440,platform
6090,50,50,440,platform
6140,50,50,440,platform
6190,70,70,400,regular

6265,60,60,490,platform
6325,60,60,490,platform
6385,60,60,490,platform
6445,60,60,490,platform
6505,60,60,490,platform
6565,60,60,470,regular

6625,60,60,450,platform
6685,60,60,450,platform
6745,60,60,450,platform
6805,60,60,450,platform
6865,60,60,450,platform
6925,60,60,450,platform
6985,60,60,430,regular
